n,heapsort.ticks
150000,22782891
180000,27785648
210000,32844552
240000,37918571
270000,43038787
300000,48268460
330000,53537399
360000,58828605
390000,64123981
420000,69449484
450000,74796692
480000,80152585
510000,85497995
540000,90940354
570000,96419033
600000,101949931
630000,107471233
660000,112998695
690000,118560993
720000,124116649
750000,129684492
780000,135266276
810000,140864762
840000,146455073
870000,152078154
900000,157683310
930000,163302977
960000,168922758
990000,174590264
1020000,180212979
1050000,185841634
1080000,191594625
1110000,197338579
1140000,203112070
1170000,208902574
1200000,214671275
1230000,220456129
1260000,226244509
1290000,232085928
1320000,237872403
1350000,243693044
1380000,249550370
1410000,255351221
1440000,261187130
1470000,267040540
