n,heapsort.ticks
150000,22786197
180000,27785302
210000,32839888
240000,37915212
270000,43033405
300000,48271945
330000,53534246
360000,58829612
390000,64123643
420000,69455164
450000,74799369
480000,80151390
510000,85507903
540000,90934820
570000,96419110
600000,101935497
630000,107454591
660000,112997271
690000,118552809
720000,124126309
750000,129703780
780000,135276165
810000,140865145
840000,146459241
870000,152072551
900000,157703069
930000,163302298
960000,168940153
990000,174567452
1020000,180206135
1050000,185847674
1080000,191613882
1110000,197353273
1140000,203096788
1170000,208901661
1200000,214659289
1230000,220476843
1260000,226260288
1290000,232072031
1320000,237888772
1350000,243718484
1380000,249519049
1410000,255358727
1440000,261188793
1470000,267036418
