n,heapsort.time
150000,110
180000,146
210000,177
240000,212
270000,274
300000,320
330000,371
360000,424
390000,477
420000,538
450000,592
480000,648
510000,708
540000,774
570000,837
600000,899
630000,954
660000,1041
690000,1111
720000,1169
750000,1240
780000,1308
810000,1379
840000,1435
870000,1526
900000,1569
930000,1661
960000,1726
990000,1798
1020000,1867
1050000,1937
1080000,2026
1110000,2096
1140000,2166
1170000,2236
1200000,2323
1230000,2400
1260000,2478
1290000,2552
1320000,2639
1350000,2704
1380000,2791
1410000,2854
1440000,2953
1470000,3026
