n,allocates.time
0,1
500,50
1000,86
1500,104
2000,143
2500,166
3000,267
3500,242
4000,288
4500,288
5000,370
5500,434
6000,457
6500,463
7000,493
7500,505
8000,469
8500,449
9000,484
9500,516
