n,heapsort.time
150000,99
180000,125
210000,168
240000,210
270000,236
300000,283
330000,330
360000,390
390000,450
420000,496
450000,560
480000,626
510000,691
540000,751
570000,798
600000,846
630000,898
660000,975
690000,1041
720000,1127
750000,1186
780000,1288
810000,1347
840000,1408
870000,1476
900000,1539
930000,1610
960000,1681
990000,1761
1020000,1843
1050000,1867
1080000,1975
1110000,2046
1140000,2098
1170000,2142
1200000,2274
1230000,2311
1260000,2428
1290000,2487
1320000,2568
1350000,2665
1380000,2945
1410000,3121
1440000,3109
1470000,3016
