n,heapsort.ticks
150000,22772009
180000,27800936
210000,32845168
240000,37927629
270000,43041374
300000,48272423
330000,53527376
360000,58809143
390000,64131783
420000,69458015
450000,74801593
480000,80149791
510000,85516355
540000,90941910
570000,96416886
600000,101940126
630000,107451251
660000,112989671
690000,118550768
720000,124115888
750000,129721561
780000,135286696
810000,140874391
840000,146479797
870000,152079825
900000,157701224
930000,163331301
960000,168921761
990000,174558523
1020000,180178172
1050000,185846487
1080000,191586132
1110000,197359969
1140000,203103484
1170000,208906401
1200000,214663713
1230000,220461731
1260000,226275379
1290000,232084653
1320000,237887275
1350000,243709100
1380000,249539021
1410000,255346228
1440000,261213725
1470000,267047577
