n,addstwonumbers.ticks
0,0
500,100000000
1000,100000000
1500,100000000
2000,100000000
2500,100000000
3000,100000000
3500,100000000
4000,100000000
4500,100000000
5000,100000000
5500,100000000
6000,100000000
6500,100000000
7000,100000000
7500,100000000
8000,100000000
8500,100000000
9000,100000000
9500,100000000
