n,allocates.time
0,2
500,45
1000,84
1500,105
2000,155
2500,160
3000,253
3500,242
4000,276
4500,312
5000,320
5500,370
6000,394
6500,440
7000,492
7500,511
8000,547
8500,444
9000,483
9500,493
