n,allocates.ticks
0,0
500,50000000
1000,100000000
1500,150000000
2000,200000000
2500,250000000
3000,300000000
3500,350000000
4000,400000000
4500,450000000
5000,500000000
5500,550000000
6000,600000000
6500,650000000
7000,700000000
7500,750000000
8000,800000000
8500,850000000
9000,900000000
9500,950000000
