n,heapsort.time
150000,94
180000,121
210000,169
240000,194
270000,258
300000,273
330000,352
360000,445
390000,504
420000,509
450000,550
480000,668
510000,666
540000,722
570000,757
600000,844
630000,888
660000,960
690000,1039
720000,1103
750000,1167
780000,1240
810000,1293
840000,1376
870000,1441
900000,1494
930000,1582
960000,1673
990000,1704
1020000,2014
1050000,2167
1080000,2062
1110000,2134
1140000,2341
1170000,2366
1200000,2512
1230000,2543
1260000,2660
1290000,2431
1320000,2495
1350000,2558
1380000,2674
1410000,2695
1440000,2778
1470000,2897
